Source,Target,Weight
Wahle M,Zeng WF,1
Wahle M,Zhou XX,1
Brunner AD,Wahle M,1
Richter S,Wahle M,1
Levesque MP,Wahle M,2
Theis FJ,Wahle M,1
Steger M,Wahle M,1
Mann M,Wahle M,5
Zeng WF,Zhou XX,1
Brunner AD,Zeng WF,1
Richter S,Zeng WF,1
Levesque MP,Zeng WF,1
Theis FJ,Zeng WF,1
Steger M,Zeng WF,1
Mann M,Zeng WF,1
Brunner AD,Zhou XX,1
Richter S,Zhou XX,1
Levesque MP,Zhou XX,1
Theis FJ,Zhou XX,1
Steger M,Zhou XX,1
Mann M,Zhou XX,1
Brunner AD,Richter S,1
Brunner AD,Levesque MP,1
Brunner AD,Theis FJ,1
Brunner AD,Steger M,1
Levesque MP,Richter S,1
Richter S,Theis FJ,2
Richter S,Steger M,1
Mann M,Richter S,2
Levesque MP,Theis FJ,1
Levesque MP,Steger M,1
Levesque MP,Mann M,3
Steger M,Theis FJ,1
Mann M,Theis FJ,2
Mann M,Steger M,1
Metousis A,Nordmann TM,5
Nordmann TM,Rodriguez E,3
Nordmann TM,Rahbek-Gjerdrum LM,1
Nordmann TM,Stadler PC,2
Bzorek M,Nordmann TM,1
Mund A,Nordmann TM,4
Metousis A,Schweizer L,5
Rodriguez E,Schweizer L,3
Schweizer L,Stadler PC,2
Metousis A,Thielert M,5
Metousis A,Rodriguez E,3
Metousis A,Rahbek-Gjerdrum LM,1
Metousis A,Stadler PC,2
Bzorek M,Metousis A,1
Metousis A,Mund A,4
Metousis A,Rosenberger FA,7
Mann M,Metousis A,10
Rodriguez E,Thielert M,3
Rahbek-Gjerdrum LM,Thielert M,1
Stadler PC,Thielert M,2
Bzorek M,Thielert M,1
Mund A,Thielert M,4
Rahbek-Gjerdrum LM,Rodriguez E,1
Rodriguez E,Stadler PC,1
Bzorek M,Rodriguez E,1
Mund A,Rodriguez E,3
Rodriguez E,Rosenberger FA,3
Mann M,Rodriguez E,3
Rahbek-Gjerdrum LM,Stadler PC,1
Rahbek-Gjerdrum LM,Rosenberger FA,1
Bzorek M,Stadler PC,1
Mund A,Stadler PC,2
Rosenberger FA,Stadler PC,2
Mann M,Stadler PC,2
Bzorek M,Rosenberger FA,1
Mund A,Rosenberger FA,5
Rosenberger FA,Strauss MT,4
Mädler SC,Rosenberger FA,2
Madden K,Rosenberger FA,1
Gote-Schniering J,Rosenberger FA,1
Rosenberger FA,Semenova A,1
Rosenberger FA,Schiller HB,1
Strauss MT,Thielert M,3
Mädler SC,Thielert M,1
Madden K,Thielert M,1
Gote-Schniering J,Thielert M,1
Semenova A,Thielert M,1
Schiller HB,Thielert M,1
Schweizer L,Strauss MT,4
Ammar C,Strauss MT,1
Mädler SC,Strauss MT,1
Metousis A,Strauss MT,3
Skowronek P,Strauss MT,1
Strauss MT,Wahle M,1
Madden K,Strauss MT,1
Gote-Schniering J,Strauss MT,1
Semenova A,Strauss MT,1
Schiller HB,Strauss MT,1
Rodriguez E,Strauss MT,2
Nordmann TM,Strauss MT,3
Mund A,Strauss MT,5
Mann M,Strauss MT,4
Mädler SC,Schweizer L,1
Madden K,Schweizer L,1
Gote-Schniering J,Schweizer L,1
Schweizer L,Semenova A,1
Schiller HB,Schweizer L,1
Ammar C,Mädler SC,1
Ammar C,Metousis A,1
Ammar C,Madden K,1
Ammar C,Gote-Schniering J,1
Ammar C,Semenova A,1
Ammar C,Schiller HB,1
Ammar C,Rodriguez E,1
Ammar C,Mund A,1
Metousis A,Mädler SC,3
Mädler SC,Skowronek P,1
Mädler SC,Wahle M,2
Madden K,Mädler SC,1
Gote-Schniering J,Mädler SC,1
Mädler SC,Semenova A,1
Mädler SC,Schiller HB,1
Mädler SC,Rodriguez E,1
Mädler SC,Nordmann TM,1
Mund A,Mädler SC,1
Mann M,Mädler SC,3
Metousis A,Skowronek P,1
Metousis A,Wahle M,3
Madden K,Metousis A,1
Gote-Schniering J,Metousis A,1
Metousis A,Semenova A,1
Metousis A,Schiller HB,1
Madden K,Skowronek P,1
Gote-Schniering J,Skowronek P,1
Semenova A,Skowronek P,1
Schiller HB,Skowronek P,1
Rodriguez E,Skowronek P,1
Mund A,Skowronek P,1
Madden K,Wahle M,1
Gote-Schniering J,Wahle M,1
Semenova A,Wahle M,1
Schiller HB,Wahle M,1
Rodriguez E,Wahle M,1
Mund A,Wahle M,1
Gote-Schniering J,Madden K,1
Madden K,Semenova A,1
Madden K,Schiller HB,1
Madden K,Rodriguez E,1
Madden K,Nordmann TM,1
Madden K,Mund A,1
Madden K,Mann M,1
Gote-Schniering J,Semenova A,1
Gote-Schniering J,Schiller HB,1
Gote-Schniering J,Rodriguez E,1
Gote-Schniering J,Nordmann TM,1
Gote-Schniering J,Mund A,1
Gote-Schniering J,Mann M,1
Schiller HB,Semenova A,1
Rodriguez E,Semenova A,1
Nordmann TM,Semenova A,1
Mund A,Semenova A,1
Mann M,Semenova A,1
Rodriguez E,Schiller HB,1
Nordmann TM,Schiller HB,1
Mund A,Schiller HB,1
Mann M,Schiller HB,1
Makhmut A,Qin D,2
Fritzsche S,Makhmut A,2
Makhmut A,Nimo J,1
König J,Makhmut A,1
Coscia F,Makhmut A,4
Fritzsche S,Qin D,1
Nimo J,Qin D,1
König J,Qin D,1
Coscia F,Qin D,2
Fritzsche S,Nimo J,2
Fritzsche S,König J,1
Coscia F,Fritzsche S,5
König J,Nimo J,1
Coscia F,Nimo J,4
Coscia F,König J,1
Hartlmayr D,Makhmut A,1
Makhmut A,Seth A,1
Hartlmayr D,Qin D,1
Qin D,Seth A,1
Hartlmayr D,Seth A,1
Coscia F,Hartlmayr D,1
Coscia F,Seth A,1
Kabatnik S,Post F,2
Drici L,Kabatnik S,1
Bartels AS,Kabatnik S,1
Kabatnik S,Strauss MT,1
Kabatnik S,Zheng X,2
Kabatnik S,Madsen GI,1
Kabatnik S,Mund A,2
Kabatnik S,Rosenberger FA,1
Kabatnik S,Moreira J,1
Kabatnik S,Mann M,3
Drici L,Post F,1
Bartels AS,Post F,1
Post F,Strauss MT,1
Post F,Zheng X,1
Madsen GI,Post F,1
Mund A,Post F,3
Post F,Rosenberger FA,1
Moreira J,Post F,1
Mann M,Post F,3
Bartels AS,Drici L,1
Drici L,Strauss MT,1
Drici L,Zheng X,1
Drici L,Madsen GI,1
Drici L,Mund A,1
Drici L,Rosenberger FA,1
Drici L,Moreira J,1
Drici L,Mann M,1
Bartels AS,Strauss MT,1
Bartels AS,Zheng X,1
Bartels AS,Madsen GI,1
Bartels AS,Mund A,1
Bartels AS,Rosenberger FA,1
Bartels AS,Moreira J,1
Bartels AS,Mann M,1
Strauss MT,Zheng X,1
Madsen GI,Strauss MT,1
Moreira J,Strauss MT,1
Madsen GI,Zheng X,1
Mund A,Zheng X,4
Rosenberger FA,Zheng X,1
Moreira J,Zheng X,1
Mann M,Zheng X,5
Madsen GI,Mund A,1
Madsen GI,Rosenberger FA,1
Madsen GI,Moreira J,1
Madsen GI,Mann M,1
Moreira J,Mund A,1
