Source,Target,Type
Hapek N,PPR1002479,Author-Paper
Kaptás F,PPR1002479,Author-Paper
Kovacs F,PPR1002479,Author-Paper
Kriston A,PPR1002479,Author-Paper
Mahdessian D,PPR1002479,Author-Paper
Axelsson U,PPR1002479,Author-Paper
Pal C,PPR1002479,Author-Paper
Lundberg E,PPR1002479,Author-Paper
Manczinger M,PPR1002479,Author-Paper
Mund A,PPR1002479,Author-Paper
Mann M,PPR1002479,Author-Paper
Horvath P,PPR1002479,Author-Paper
Boottanun P,40027887,Author-Paper
Fuseya S,40027887,Author-Paper
Kuno A,40027887,Author-Paper
Weiss CAM,41721135,Author-Paper
Brown LA,41721135,Author-Paper
Miranda L,41721135,Author-Paper
Pellizzoni P,41721135,Author-Paper
Steigerwald S,41721135,Author-Paper
Remmert K,41721135,Author-Paper
Hernandez JM,41721135,Author-Paper
Borgwardt K,41721135,Author-Paper
Kleiner DE,41721135,Author-Paper
Ben-Moshe S,41721135,Author-Paper
Rosenberger FA,41721135,Author-Paper
Porat-Shliom N,41721135,Author-Paper
Mann M,41721135,Author-Paper
Rosenberger FA,40240610,Author-Paper
Mädler SC,40240610,Author-Paper
Thorhauge KH,40240610,Author-Paper
Steigerwald S,40240610,Author-Paper
Fromme M,40240610,Author-Paper
Lebedev M,40240610,Author-Paper
Weiss CAM,40240610,Author-Paper
Oeller M,40240610,Author-Paper
Wahle M,40240610,Author-Paper
Metousis A,40240610,Author-Paper
Zwiebel M,40240610,Author-Paper
Schmacke NA,40240610,Author-Paper
Detlefsen S,40240610,Author-Paper
Boor P,40240610,Author-Paper
Fabián O,40240610,Author-Paper
Fraňková S,40240610,Author-Paper
Krag A,40240610,Author-Paper
Strnad P,40240610,Author-Paper
Mann M,40240610,Author-Paper
Zheng X,40536875,Author-Paper
Mund A,40536875,Author-Paper
Mann M,40536875,Author-Paper
Kabatnik S,39252972,Author-Paper
Post F,39252972,Author-Paper
Drici L,39252972,Author-Paper
Bartels AS,39252972,Author-Paper
Strauss MT,39252972,Author-Paper
Zheng X,39252972,Author-Paper
Madsen GI,39252972,Author-Paper
Mund A,39252972,Author-Paper
Rosenberger FA,39252972,Author-Paper
Moreira J,39252972,Author-Paper
Mann M,39252972,Author-Paper
Valdes DS,PPR1051520,Author-Paper
Nimo J,PPR1051520,Author-Paper
Nonn O,PPR1051520,Author-Paper
Ulrich J,PPR1051520,Author-Paper
Forstner D,PPR1051520,Author-Paper
Haider S,PPR1051520,Author-Paper
Ressler M,PPR1051520,Author-Paper
Pignitter M,PPR1051520,Author-Paper
Müller DN,PPR1051520,Author-Paper
Dechend R,PPR1051520,Author-Paper
Gauster M,PPR1051520,Author-Paper
Coscia F,PPR1051520,Author-Paper
Herse F,PPR1051520,Author-Paper
Makhmut A,37909047,Author-Paper
Qin D,37909047,Author-Paper
Fritzsche S,37909047,Author-Paper
Nimo J,37909047,Author-Paper
König J,37909047,Author-Paper
Coscia F,37909047,Author-Paper
Horvath P,40229558,Author-Paper
Coscia F,40229558,Author-Paper
Nordmann TM,37683827,Author-Paper
Schweizer L,37683827,Author-Paper
Metousis A,37683827,Author-Paper
Thielert M,37683827,Author-Paper
Rodriguez E,37683827,Author-Paper
Rahbek-Gjerdrum LM,37683827,Author-Paper
Stadler PC,37683827,Author-Paper
Bzorek M,37683827,Author-Paper
Mund A,37683827,Author-Paper
Rosenberger FA,37683827,Author-Paper
Mann M,37683827,Author-Paper
Klingeberg M,41418981,Author-Paper
Krisp C,41418981,Author-Paper
Fritzsche S,41418981,Author-Paper
Schallenberg S,41418981,Author-Paper
Hornburg D,41418981,Author-Paper
Coscia F,41418981,Author-Paper
Makhmut A,38513891,Author-Paper
Qin D,38513891,Author-Paper
Hartlmayr D,38513891,Author-Paper
Seth A,38513891,Author-Paper
Coscia F,38513891,Author-Paper
Nordmann TM,39415009,Author-Paper
Anderton H,39415009,Author-Paper
Hasegawa A,39415009,Author-Paper
Schweizer L,39415009,Author-Paper
Zhang P,39415009,Author-Paper
Stadler PC,39415009,Author-Paper
Sinha A,39415009,Author-Paper
Metousis A,39415009,Author-Paper
Rosenberger FA,39415009,Author-Paper
Zwiebel M,39415009,Author-Paper
Satoh TK,39415009,Author-Paper
Anzengruber F,39415009,Author-Paper
Strauss MT,39415009,Author-Paper
Tanzer MC,39415009,Author-Paper
Saito Y,39415009,Author-Paper
Gong T,39415009,Author-Paper
Thielert M,39415009,Author-Paper
Kimura H,39415009,Author-Paper
Silke N,39415009,Author-Paper
Rodriguez EH,39415009,Author-Paper
Restivo G,39415009,Author-Paper
Nguyen HH,39415009,Author-Paper
Gross A,39415009,Author-Paper
Feldmeyer L,39415009,Author-Paper
Joerg L,39415009,Author-Paper
Levesque MP,39415009,Author-Paper
Murray PJ,39415009,Author-Paper
Ingen-Housz-Oro S,39415009,Author-Paper
Mund A,39415009,Author-Paper
Abe R,39415009,Author-Paper
Silke J,39415009,Author-Paper
Ji C,39415009,Author-Paper
Ji C,39415009,Author-Paper
French LE,39415009,Author-Paper
Mann M,39415009,Author-Paper
Rosenberger FA,37783884,Author-Paper
Thielert M,37783884,Author-Paper
